X,Y,Z
-10.8,2.87,"-26.61
"
-6.65,5.8,"-22.28
"
1.04,10.31,"-14.22
"
13.85,15.26,"-4.21
"
24.05,15.56,"3.78
"
37.11,9.46,"8.67
"
43.27,-1.28,"8.67
"
47.67,-12.7,"1.65
"
48.03,-20.94,"-9.09
"
49.01,-27.77,"-22.09
"
35.1,-34,"-32.59
"
32.84,-39.61,"-44.68
"
23.19,-43.03,"-53.71
"
17.09,-41.56,"-57.50
"
2.2,-39.73,"-53.71
"
-2.44,-36.87,"-43.27
"
0.24,-31.74,"-27.83
"
1.95,-21.79,"-8.18
"
7.93,-10.99,"13.37
"
20.75,-7.2,"33.33
"
32.96,-13.43,"47.91
"
38.94,-25.15,"52.55
"
38.39,-37.72,"46.51
"
30.46,-50.35,"32.29
"
20.45,-61.16,"13.85
"
10.62,-65.37,"-1.65
"
2.93,-58.65,"-7.63
"
-5.43,-40.34,"-4.39
"
-9.03,-10.56,"6.29
"
-6.71,18.68,"22.58
"
-2.32,35.52,"37.11
"
3.78,34.73,"45.59
"
10.44,19.78,"48.71
"
15.87,-2.44,"46.45
"
20.32,-23.99,"37.41
"
13.85,-37.17,"25.45
"
-1.89,-37.78,"16.60
"
-11.29,-29.85,"10.68
"
-16.6,-19.71,"7.08
"
-21.85,-12.45,"8.42
"
-22.09,-10.07,"14.71
"
-17.21,-9.28,"23.07
"
-7.39,-5.74,"32.84
"
5.13,1.04,"40.47
"
9.58,5.8,"42.97
"
17.82,7.2,"41.26
"
27.71,7.87,"36.87
"
27.34,10.44,"27.53
"
16.36,14.47,"13.43
"
2.2,19.23,"0.37
"
-8.36,23.86,"-8.79
"
-17.15,26.67,"-13.31
"
-22.77,30.21,"-9.83
"
-15.44,37.29,"1.10
"
1.89,43.09,"12.21
"
15.2,44.37,"17.88
"
20.63,41.81,"17.03
"
21.55,36.25,"10.38
"
14.22,28.2,"-0.79
"
1.34,20.87,"-13.92
"
-10.68,15.44,"-26.49
"
-18.13,10.93,"-34.18
"
-21.36,6.53,"-36.32
"
-21.36,2.99,"-33.94
"
-20.26,0.55,"-25.88
"
-10.68,-0.73,"-11.60
"
5.98,-0.49,"7.45
"
19.1,0.24,"27.71
"
30.76,-0.85,"42.97
"
40.04,-6.96,"50.96
"
44.19,-15.38,"51.45
"
45.29,-22.95,"45.10
"
42.36,-29.11,"33.26
"
30.46,-31.98,"15.81
"
5.92,-32.17,"-4.64
"
-14.16,-34.3,"-24.84
"
-23.62,-41.14,"-40.83
"
-24.78,-50.42,"-48.46
"
-18.49,-57.37,"-47.85
"
-8.36,-59.88,"-42.85
"
-2.87,-55.97,"-37.41
"
-5.13,-48.65,"-33.75
"
-8.97,-41.26,"-31.19
"
-13.37,-37.05,"-28.81
"
-15.26,-38.82,"-25.57
"
-10.19,-44.74,"-20.63
"
-4.52,-48.58,"-13.79
"
-4.27,-45.53,"-6.96
"
-7.81,-34.79,"-3.72
"
-16.54,-20.45,"-4.70
"
-26.73,-10.99,"-7.26
"
-25.45,-8.48,"-5.55
"
-21.67,-9.09,"-0.61
"
-19.59,-16.11,"2.01
"
-18.8,-28.08,"-0.67
"
