X,Y,Z
1.4,65.31,"22.22
"
4.27,56.76,"29.72
"
11.23,47.97,"42.11
"
20.69,42.18,"54.20
"
22.46,41.69,"61.83
"
23.44,46.2,"63.60
"
21.48,52.86,"61.65
"
18.68,57.43,"58.04
"
16.91,55.05,"53.28
"
16.66,47.49,"48.46
"
17.82,41.32,"44.80
"
15.14,37.17,"44.86
"
21.3,32.78,"48.22
"
30.76,27.16,"53.10
"
31.13,22.28,"60.36
"
36.25,20.32,"65.37
"
34.79,20.94,"63.96
"
22.64,22.46,"57.31
"
15.56,21.79,"49.38
"
14.16,20.51,"43.82
"
17.46,19.9,"43.27
"
27.16,18.19,"46.75
"
34.3,13.55,"52.19
"
40.65,6.59,"58.29
"
42.24,1.59,"62.74
"
39.49,-0.73,"64.27
"
36.19,0.12,"64.76
"
33.69,3.91,"66.22
"
30.52,8.06,"69.76
"
28.75,11.54,"75.32
"
24.54,13.67,"80.32
"
21.97,11.17,"82.40
"
20.69,3.85,"83.62
"
24.05,-3.72,"84.11
"
24.66,-9.4,"84.96
"
24.23,-10.86,"86.30
"
26,-9.52,"89.11
"
29.54,-8.67,"91.67
"
30.09,-8.85,"91.43
"
25.76,-10.19,"89.23
"
22.71,-11.96,"88.20
"
24.96,-14.65,"90.03
"
28.08,-17.88,"92.96
"
29.42,-19.04,"94.97
"
26.25,-16.05,"96.56
"
22.64,-13.24,"97.47
"
23.25,-13,"96.98
"
24.78,-15.26,"94.97
"
25.94,-22.71,"92.53
"
29.36,-34,"90.27
"
31.19,-42.18,"87.65
"
28.5,-44.56,"85.39
"
24.48,-41.63,"85.33
"
26.43,-33.81,"87.22
"
24.54,-24.11,"89.11
"
18.68,-18.62,"88.20
"
10.56,-21.42,"84.47
"
2.5,-27.89,"81.48
"
-0.12,-33.94,"81.67
"
6.29,-38.21,"84.29
"
9.89,-38.64,"86.30
"
9.7,-36.01,"84.84
"
8.67,-32.84,"79.41
"
5.25,-30.88,"71.04
"
2.44,-30.33,"61.83
"
-1.65,-31.86,"53.28
"
-10.31,-36.93,"49.07
"
-12.51,-50.05,"53.10
"
1.46,-65.25,"64.27
"
15.93,-75.74,"74.95
"
20.57,-77.33,"79.90
"
21.36,-69.15,"76.29
"
11.72,-60,"67.02
"
4.52,-56.34,"55.79
"
-1.71,-58.9,"43.21
"
-19.17,-67.26,"34.67
"
-21.06,-82.52,"37.11
"
-2.56,-95.89,"50.42
"
15.44,-99.79,"65.67
"
24.84,-95.34,"72.45
"
22.09,-86.55,"68.85
"
15.14,-78.43,"56.64
"
9.83,-73.12,"40.10
"
0.06,-70.62,"22.09
"
-17.64,-75.01,"3.11
"
-25.88,-88.81,"-5.55
"
-16.72,-100.77,"-0.12
"
1.59,-103.76,"11.72
"
12.21,-97.96,"17.33
"
16.97,-90.21,"13.31
"
20.39,-85.39,"2.01
"
21.48,-84.59,"-12.63
"
23.99,-88.56,"-29.42
"
20.94,-95.28,"-44.86
"
